month;value
1914-01;55.275
1914-02;49.951
1914-03;42.617
1914-04;26.901
1914-05;22.654
1914-06;35.793
1914-07;66.063
1914-08;83.903
1914-09;113.636
1914-10;60.655
1914-11;36.557
1914-12;51.537
1915-01;41.739
1915-02;37.492
1915-03;31.998
1915-04;22.823
1915-05;35.566
1915-06;66.290
1915-07;93.785
1915-08;75.889
1915-09;65.808
1915-10;42.815
1915-11;42.022
1915-12;49.866
1916-01;42.900
1916-02;62.240
1916-03;46.468
1916-04;30.497
1916-05;26.250
1916-06;33.669
1916-07;166.503
1916-08;110.039
1916-09;155.431
1916-10;54.029
1916-11;32.564
1916-12;42.220
1917-01;56.917
1917-02;83.535
1917-03;48.167
1917-04;29.166
1917-05;24.777
1917-06;57.398
1917-07;140.791
1917-08;84.526
1917-09;80.590
1917-10;43.240
1917-11;36.047
1917-12;33.357
1918-01;32.621
1918-02;36.642
1918-03;22.625
1918-04;21.634
1918-05;20.643
1918-06;91.520
1918-07;70.084
1918-08;120.602
1918-09;88.264
1918-10;34.235
1918-11;35.849
1918-12;32.225
1919-01;31.347
1919-02;50.432
1919-03;35.962
1919-04;29.478
1919-05;28.345
1919-06;89.028
1919-07;126.860
1919-08;87.471
1919-09;74.757
1919-10;50.036
1919-11;61.278
1919-12;34.858
1920-01;40.691
1920-02;83.138
1920-03;38.992
1920-04;26.420
1920-05;24.013
1920-06;104.093
1920-07;135.553
1920-08;70.367
1920-09;69.660
1920-10;50.999
1920-11;28.742
1920-12;30.157
1921-01;33.839
1921-02;45.052
1921-03;42.702
1921-04;33.216
1921-05;28.572
1921-06;69.150
1921-07;99.930
1921-08;96.334
1921-09;48.025
1921-10;28.345
1921-11;26.675
1921-12;30.780
1922-01;30.044
1922-02;27.722
1922-03;38.001
1922-04;24.437
1922-05;22.625
1922-06;55.643
1922-07;259.637
1922-08;89.368
1922-09;85.290
1922-10;73.341
1922-11;42.645
1922-12;44.401
1923-01;31.432
1923-02;41.059
1923-03;33.754
1923-04;28.034
1923-05;26.306
1923-06;37.435
1923-07;168.740
1923-08;96.079
1923-09;63.571
1923-10;41.626
1923-11;25.202
1923-12;29.535
1924-01;26.533
1924-02;25.429
1924-03;26.108
1924-04;24.324
1924-05;21.889
1924-06;30.950
1924-07;143.906
1924-08;150.306
1924-09;68.159
1924-10;44.231
1924-11;80.561
1924-12;56.520
1925-01;37.350
1925-02;35.793
1925-03;28.543
1925-04;21.861
1925-05;30.526
1925-06;47.006
1925-07;60.088
1925-08;39.530
1925-09;76.172
1925-10;35.339
1925-11;25.060
1925-12;23.446
1926-01;33.669
1926-02;28.798
1926-03;22.540
1926-04;17.018
1926-05;17.613
1926-06;38.171
1926-07;105.650
1926-08;90.756
1926-09;89.028
1926-10;33.895
1926-11;47.261
1926-12;73.114
1927-01;77.305
1927-02;54.906
1927-03;39.502
1927-04;30.299
1927-05;29.676
1927-06;115.306
1927-07;100.723
1927-08;86.650
1927-09;52.556
1927-10;44.486
1927-11;27.411
1927-12;25.797
1928-01;52.273
1928-02;46.695
1928-03;36.161
1928-04;32.508
1928-05;32.678
1928-06;94.465
1928-07;140.395
1928-08;80.986
1928-09;40.578
1928-10;40.012
1928-11;51.622
1928-12;94.295
1929-01;106.953
1929-02;81.581
1929-03;49.979
1929-04;31.432
1929-05;34.178
1929-06;140.423
1929-07;188.704
1929-08;104.263
1929-09;60.966
1929-10;58.729
1929-11;34.603
1929-12;28.940
1930-01;31.205
1930-02;37.520
1930-03;28.175
1930-04;26.391
1930-05;31.517
1930-06;56.039
1930-07;60.287
1930-08;52.641
1930-09;44.911
1930-10;27.836
1930-11;17.103
1930-12;16.282
1931-01;24.919
1931-02;25.230
1931-03;23.022
1931-04;18.859
1931-05;19.878
1931-06;27.439
1931-07;32.763
1931-08;25.514
1931-09;37.265
1931-10;23.843
1931-11;14.866
1931-12;20.643
1932-01;29.676
1932-02;42.107
1932-03;43.325
1932-04;44.684
1932-05;30.894
1932-06;44.599
1932-07;95.654
1932-08;63.939
1932-09;26.306
1932-10;19.057
1932-11;15.631
1932-12;15.093
1933-01;17.443
1933-02;23.758
1933-03;19.454
1933-04;22.795
1933-05;23.022
1933-06;32.281
1933-07;106.868
1933-08;78.409
1933-09;39.219
1933-10;18.802
1933-11;12.544
1933-12;12.148
1934-01;15.744
1934-02;17.472
1934-03;15.716
1934-04;20.020
1934-05;15.461
1934-06;26.873
1934-07;98.401
1934-08;33.867
1934-09;24.381
1934-10;23.758
1934-11;14.300
1934-12;23.277
1935-01;27.496
1935-02;54.538
1935-03;74.049
1935-04;29.789
1935-05;25.287
1935-06;101.629
1935-07;107.491
1935-08;54.708
1935-09;52.075
1935-10;46.723
1935-11;30.469
1935-12;31.800
1936-01;28.260
1936-02;33.754
1936-03;30.780
1936-04;21.634
1936-05;14.810
1936-06;75.351
1936-07;107.434
1936-08;77.758
1936-09;31.941
1936-10;18.944
1936-11;17.811
1936-12;32.395
1937-01;29.733
1937-02;30.922
1937-03;23.560
1937-04;27.014
1937-05;29.336
1937-06;86.593
1937-07;107.604
1937-08;107.774
1937-09;38.199
1937-10;20.530
1937-11;16.905
1937-12;15.773
1938-01;23.333
1938-02;26.080
1938-03;18.548
1938-04;18.038
1938-05;27.014
1938-06;127.313
1938-07;122.810
1938-08;87.103
1938-09;52.330
1938-10;42.730
1938-11;33.017
1938-12;128.672
1939-01;54.737
1939-02;47.176
1939-03;41.399
1939-04;49.526
1939-05;36.472
1939-06;83.450
1939-07;141.244
1939-08;65.497
1939-09;89.878
1939-10;43.466
1939-11;28.827
1939-12;32.763
1940-01;31.658
1940-02;29.704
1940-03;28.034
1940-04;22.908
1940-05;27.269
1940-06;33.499
1940-07;78.041
1940-08;64.251
1940-09;88.094
1940-10;60.485
1940-11;45.788
1940-12;45.562
1941-01;32.395
1941-02;62.495
1941-03;47.884
1941-04;42.617
1941-05;31.007
1941-06;35.113
1941-07;164.634
1941-08;64.364
1941-09;71.557
1941-10;25.429
1941-11;23.956
1941-12;82.006
1942-01;107.887
1942-02;121.593
1942-03;58.673
1942-04;37.180
1942-05;36.755
1942-06;61.702
1942-07;114.089
1942-08;115.221
1942-09;137.393
1942-10;67.932
1942-11;37.180
1942-12;58.701
1943-01;72.095
1943-02;66.545
1943-03;38.228
1943-04;38.653
1943-05;34.547
1943-06;52.216
1943-07;169.845
1943-08;76.710
1943-09;135.779
1943-10;77.985
1943-11;42.419
1943-12;33.810
1944-01;35.113
1944-02;42.730
1944-03;24.806
1944-04;22.399
1944-05;26.929
1944-06;31.970
1944-07;60.541
1944-08;79.457
1944-09;95.116
1944-10;33.357
1944-11;21.804
1944-12;31.630
1945-01;26.250
1945-02;38.284
1945-03;24.664
1945-04;20.586
1945-05;20.275
1945-06;96.221
1945-07;111.200
1945-08;60.202
1945-09;99.817
1945-10;34.745
1945-11;25.060
1945-12;34.150
1946-01;29.761
1946-02;77.815
1946-03;35.708
1946-04;53.944
1946-05;33.046
1946-06;149.088
1946-07;71.812
1946-08;50.885
1946-09;78.523
1946-10;57.483
1946-11;23.758
1946-12;23.928
1947-01;24.381
1947-02;45.335
1947-03;26.221
1947-04;24.522
1947-05;22.370
1947-06;44.033
1947-07;111.880
1947-08;74.105
1947-09;62.863
1947-10;27.014
1947-11;24.919
1947-12;25.089
1948-01;25.598
1948-02;36.954
1948-03;23.446
1948-04;20.898
1948-05;18.944
1948-06;65.072
1948-07;84.498
1948-08;55.190
1948-09;25.910
1948-10;26.250
1948-11;20.445
1948-12;16.792
1949-01;15.093
1949-02;28.458
1949-03;23.899
1949-04;22.285
1949-05;20.813
1949-06;47.516
1949-07;86.593
1949-08;42.305
1949-09;22.569
1949-10;33.640
1949-11;23.956
1949-12;19.142
1950-01;20.671
1950-02;24.579
1950-03;24.522
1950-04;21.209
1950-05;16.905
1950-06;47.431
1950-07;135.779
1950-08;88.858
1950-09;36.670
1950-10;31.375
1950-11;26.363
1950-12;24.154
1951-01;22.597
1951-02;21.577
1951-03;20.445
1951-04;20.388
1951-05;19.709
1951-06;29.138
1951-07;201.021
1951-08;79.174
1951-09;47.629
1951-10;50.942
1951-11;32.310
1951-12;37.293
1952-01;61.759
1952-02;62.637
1952-03;48.648
1952-04;30.780
1952-05;28.855
1952-06;38.766
1952-07;210.762
1952-08;60.315
1952-09;43.268
1952-10;72.350
1952-11;36.557
1952-12;23.531
1953-01;20.048
1953-02;22.116
1953-03;24.154
1953-04;21.323
1953-05;15.801
1953-06;91.095
1953-07;129.125
1953-08;70.877
1953-09;32.791
1953-10;34.207
1953-11;44.656
1953-12;19.765
1954-01;18.717
1954-02;19.510
1954-03;23.730
1954-04;17.896
1954-05;21.323
1954-06;33.839
1954-07;60.400
1954-08;76.880
1954-09;62.948
1954-10;37.831
1954-11;22.031
1954-12;34.518
1955-01;80.165
1955-02;43.127
1955-03;30.724
1955-04;23.673
1955-05;21.238
1955-06;49.809
1955-07;132.636
1955-08;52.783
1955-09;47.997
1955-10;21.776
1955-11;21.493
1955-12;16.849
1956-01;21.209
1956-02;27.099
1956-03;21.351
1956-04;19.227
1956-05;18.802
1956-06;20.190
1956-07;126.803
1956-08;58.248
1956-09;35.566
1956-10;46.666
1956-11;31.262
1956-12;23.645
1957-01;19.595
1957-02;24.098
1957-03;21.832
1957-04;18.378
1957-05;17.726
1957-06;27.184
1957-07;56.945
1957-08;59.409
1957-09;36.416
1957-10;19.340
1957-11;14.442
1957-12;26.731
1958-01;21.493
1958-02;35.764
1958-03;26.675
1958-04;20.841
1958-05;21.323
1958-06;38.426
1958-07;69.631
1958-08;41.541
1958-09;26.080
1958-10;31.970
1958-11;16.282
1958-12;29.025
1959-01;26.533
1959-02;29.251
1959-03;20.133
1959-04;14.810
1959-05;15.489
1959-06;24.862
1959-07;131.645
1959-08;67.960
1959-09;33.584
1959-10;25.400
1959-11;25.853
1959-12;36.585
1960-01;65.384
1960-02;73.879
1960-03;45.760
1960-04;60.853
1960-05;31.347
1960-06;30.696
1960-07;133.089
1960-08;211.017
1960-09;76.002
1960-10;48.394
1960-11;45.109
1960-12;53.830
